Plant_Name,Nutrient_Requirement (mg/L),Hormone_Requirement (mg/L),Temperature (°C),pH_Level,Light_Intensity (lux),Contamination_Sensitivity,Recommended_Media
Wheat,81.69,0.27,26.7,6.49,1891.67,High,Gamborg
Mango,40.03,0.23,24.76,5.14,2444.0,Medium,B5
Cactus,142.62,1.72,15.11,5.06,2049.55,High,Nitsch
Tulip,14.2,0.98,18.49,5.23,2236.77,High,Nitsch
Apple,14.18,0.65,17.56,5.16,2897.77,Medium,B5
Tulip,37.42,0.19,25.26,6.1,1244.08,Low,Gamborg
Orchid,177.63,3.65,19.68,6.3,4093.42,Medium,Nitsch
Rose,332.54,4.76,28.42,6.49,4843.75,Medium,Murashige & Skoog
Wheat,56.88,0.97,27.67,6.87,2079.38,Medium,Murashige & Skoog
Apple,36.66,0.25,15.23,6.06,1789.76,High,Gamborg
Tomato,156.03,1.96,26.57,5.19,1716.93,Low,Nitsch
Wheat,86.5,0.5,16.43,5.93,2337.68,Low,Gamborg
Mango,34.72,0.61,20.74,7.43,2697.83,Low,B5
Wheat,79.39,0.54,22.84,6.07,1050.84,Low,Gamborg
Wheat,52.78,0.61,25.43,5.35,2208.83,High,Gamborg
Bamboo,191.43,1.7,25.42,7.2,2248.71,Medium,Murashige & Skoog
Cactus,180.72,2.11,17.8,7.23,2078.68,Medium,Nitsch
Wheat,90.65,0.39,16.65,5.57,1854.22,Low,Murashige & Skoog
Tomato,51.04,1.52,21.26,5.56,1239.73,High,Gamborg
Fern,29.69,0.6,21.06,5.16,1507.83,Medium,B5
Tomato,95.13,1.07,15.55,6.52,2005.36,Medium,White
Orchid,290.31,3.72,22.96,6.12,4105.79,High,Gamborg
Bamboo,62.13,1.24,18.63,7.01,1940.6,Medium,Gamborg
Orchid,145.22,3.03,25.44,7.15,3651.92,High,B5
Tomato,171.43,1.2,16.44,7.35,1795.14,High,Nitsch
Rose,351.31,3.7,26.03,5.52,4082.9,Medium,Murashige & Skoog
Tomato,84.28,0.85,29.73,6.29,1521.66,Low,Nitsch
Cactus,185.06,1.77,20.09,5.87,2451.91,High,Nitsch
Bamboo,183.06,2.06,24.63,5.21,1323.26,Medium,Nitsch
Mango,64.58,0.11,16.52,6.66,1010.12,Medium,B5
Rose,307.57,3.61,18.36,6.78,3474.5,Low,Murashige & Skoog
Bamboo,104.97,1.99,25.81,5.77,2085.08,High,Gamborg
Fern,33.87,0.32,29.6,5.98,2784.09,High,Gamborg
Rose,205.02,3.58,25.03,7.16,3460.37,High,Gamborg
Bamboo,53.65,1.79,17.66,7.35,2907.86,Low,Gamborg
Apple,95.78,0.4,23.29,6.43,2960.66,High,White
Cactus,78.64,1.04,22.28,5.93,1789.38,Medium,B5
